DATE;PAX
01.01.2008;373134
01.02.2008;355692
01.03.2008;389088
01.04.2008;433962
01.05.2008;486186
01.06.2008;513969
01.07.2008;570396
01.08.2008;589840
01.09.2008;477817
01.10.2008;540157
01.11.2008;486187
01.12.2008;475705
01.01.2009;444372
01.02.2009;421686
01.03.2009;454899
01.04.2009;478789
01.05.2009;499713
01.06.2009;529536
01.07.2009;582147
01.08.2009;568252
01.09.2009;506918
01.10.2009;531216
01.11.2009;514599
01.12.2009;552277
01.01.2010;538479
01.02.2010;510361
01.03.2010;581061
01.04.2010;573547
01.05.2010;632690
01.06.2010;679965
01.07.2010;774575
01.08.2010;704736
01.09.2010;704214
01.10.2010;734687
01.11.2010;677541
01.12.2010;652058
01.01.2011;641165
01.02.2011;640439
01.03.2011;682957
01.04.2011;673693
01.05.2011;700174
01.06.2011;742163
01.07.2011;836530
01.08.2011;680478
01.09.2011;747354
01.10.2011;712095
01.11.2011;719290
01.12.2011;709129
01.01.2012;724740
01.02.2012;677930
01.03.2012;735040
01.04.2012;744893
01.05.2012;779485
01.06.2012;826377
01.07.2012;855435
01.08.2012;809376
01.09.2012;850074
01.10.2012;789239
01.11.2012;755411
01.12.2012;725108
01.01.2013;771714
01.02.2013;782169
01.03.2013;848583
01.04.2013;892760
01.05.2013;962156
01.06.2013;966793
01.07.2013;956859
01.08.2013;1022001
01.09.2013;990089
01.10.2013;957801
01.11.2013;911386
01.12.2013;879749
01.01.2014;903274
01.02.2014;881534
01.03.2014;919954
01.04.2014;944718
01.05.2014;928525
01.06.2014;945225
01.07.2014;876469
01.08.2014;1005566
01.09.2014;933496
01.10.2014;909898
01.11.2014;881669
01.12.2014;905278
01.01.2015;935578
01.02.2015;884277
01.03.2015;933150
01.04.2015;1008958
01.05.2015;1053417
01.06.2015;970952
01.07.2015;1100199
01.08.2015;1177055
01.09.2015;1086901
01.10.2015;1012469
01.11.2015;956268
01.12.2015;994215
01.01.2016;979815
01.02.2016;981470
01.03.2016;1004550
01.04.2016;1058737
01.05.2016;1156417
01.06.2016;998648
01.07.2016;1105057
01.08.2016;1209785
01.09.2016;1177060
01.10.2016;1178746
01.11.2016;1107906
01.12.2016;1085925
01.01.2017;1049803
01.02.2017;980041
01.03.2017;1101117
01.04.2017;1153355
01.05.2017;1245226
01.06.2017;1200694
01.07.2017;1571272
01.08.2017;1592318
01.09.2017;1525369
01.10.2017;1464808
01.11.2017;1442889
01.12.2017;1518986
01.01.2018;1552221
01.02.2018;1371340
01.03.2018;1511576
01.04.2018;1503403
01.05.2018;1398732
01.06.2018;1401098
01.07.2018;1543594
01.08.2018;1477709
01.09.2018;1370518
01.10.2018;1277418
